embutidos;tipo;largura;altura;tamanho;nao_vazias;preenchidas;buracos;impossiveis;%possiveis;%interior;%borda
336;Boustrophedon ;55;45;2475;1477;1344;108;25;92.56;96.78;64.66
323;Varredura ;44;52;2288;1403;1292;93;18;93.29;99.22;58.2
332;Boustrophedon ;48;53;2544;1454;1328;98;28;93.13;97.98;61.65
377;Boustrophedon ;59;50;2950;1609;1508;75;26;95.26;98.69;64.38
300;Varredura ;57;45;2565;1293;1200;77;16;93.97;98.79;63.47
260;Boustrophedon ;47;48;2256;1144;1040;89;15;92.12;97.09;64.19
241;Varredura ;48;39;1872;1045;964;61;20;94.05;98.6;63.49
293;Boustrophedon ;48;48;2304;1296;1172;97;27;92.36;97.31;62.5
302;Varredura ;62;53;3286;1322;1208;88;26;93.21;98.47;64.49
374;Boustrophedon ;50;63;3150;1638;1496;119;23;92.63;97.42;61.92
227;Boustrophedon ;42;43;1806;987;908;63;16;93.51;97.54;65.9
314;Boustrophedon ;57;54;3078;1397;1256;115;26;91.61;96.88;61.59
386;Espiral Crescente ;57;58;3306;1710;1544;122;44;92.68;98.37;52.01
380;Boustrophedon ;59;61;3599;1675;1520;126;29;92.35;97.31;60.4
308;Varredura ;49;58;2842;1340;1232;82;26;93.76;97.31;65.49
259;Boustrophedon ;61;45;2745;1146;1036;78;32;93.0;98.14;59.91
308;Boustrophedon ;52;53;2756;1363;1232;106;25;92.08;98.51;59.93
303;Varredura ;45;56;2520;1342;1212;95;35;92.73;97.78;59.07
388;Espiral Crescente ;55;56;3080;1707;1552;130;25;92.27;97.8;57.97
185;Boustrophedon ;37;40;1480;816;740;47;29;94.03;98.13;63.22
300;Varredura ;52;58;3016;1322;1200;88;34;93.17;98.02;61.3
250;Boustrophedon ;46;45;2070;1103;1000;81;22;92.51;98.0;57.92
342;Boustrophedon ;55;54;2970;1499;1368;96;35;93.44;98.03;61.79
330;Boustrophedon ;57;53;3021;1454;1320;104;30;92.7;97.95;61.4
323;Boustrophedon ;53;48;2544;1397;1292;89;16;93.56;98.39;60.91
383;Boustrophedon ;53;51;2703;1650;1532;90;28;94.45;97.8;63.45
361;Boustrophedon ;51;50;2550;1577;1444;94;39;93.89;98.25;58.65
303;Espiral Crescente ;43;52;2236;1337;1212;91;34;93.02;97.84;55.51
360;Espiral Crescente ;58;61;3538;1608;1440;138;30;91.25;98.05;55.73
262;Varredura ;44;51;2244;1130;1048;67;15;93.99;98.59;67.3
297;Varredura ;42;59;2478;1318;1188;96;34;92.52;97.09;60.71
425;Boustrophedon ;56;62;3472;1822;1700;98;24;94.55;97.97;63.27
318;Boustrophedon ;60;62;3720;1428;1272;132;24;90.6;96.49;65.8
230;Boustrophedon ;44;50;2200;1034;920;83;31;91.72;97.7;61.6
288;Boustrophedon ;53;44;2332;1265;1152;92;21;92.6;97.16;65.57
296;Varredura ;53;46;2438;1304;1184;90;30;92.94;98.05;56.77
347;Espiral Crescente ;52;54;2808;1525;1388;111;26;92.6;98.57;55.76
259;Espiral Crescente ;55;42;2310;1151;1036;98;17;91.36;98.2;61.92
376;Boustrophedon ;52;50;2600;1614;1504;86;24;94.59;98.84;59.66
266;Espiral Crescente ;38;56;2128;1163;1064;88;11;92.36;98.76;54.92
321;Varredura ;43;56;2408;1394;1284;89;21;93.52;96.81;64.71
311;Varredura ;60;53;3180;1389;1244;116;29;91.47;95.91;65.28
323;Boustrophedon ;45;56;2520;1402;1292;84;26;93.9;98.17;64.68
250;Boustrophedon ;50;48;2400;1118;1000;96;22;91.24;96.14;60.66
541;Varredura ;63;51;3213;2261;2164;83;14;96.31;99.6;63.22
250;Varredura ;44;48;2112;1094;1000;73;21;93.2;98.33;59.49
302;Boustrophedon ;49;49;2401;1313;1208;79;26;93.86;98.24;63.25
319;Boustrophedon ;63;46;2898;1416;1276;111;29;92.0;97.23;58.62
247;Varredura ;49;43;2107;1082;988;76;18;92.86;97.42;63.02
640;Varredura ;63;59;3717;2687;2560;100;27;96.24;99.33;64.08
236;Varredura ;45;50;2250;1076;944;102;30;90.25;98.14;56.83
397;Boustrophedon ;63;52;3276;1736;1588;113;35;93.36;98.48;64.43
347;Boustrophedon ;56;59;3304;1529;1388;123;18;91.86;97.06;61.62
329;Boustrophedon ;56;47;2632;1424;1316;88;20;93.73;98.56;63.16
385;Espiral Crescente ;57;63;3591;1714;1540;133;41;92.05;98.44;58.42
300;Varredura ;56;49;2744;1331;1200;118;13;91.05;96.17;65.38
518;Varredura ;56;56;3136;2202;2072;107;23;95.09;98.17;66.78
176;Boustrophedon ;44;40;1760;793;704;68;21;91.19;95.78;64.41
416;Espiral Crescente ;51;54;2754;1798;1664;108;26;93.91;98.52;55.42
373;Varredura ;63;55;3465;1628;1492;94;42;94.07;98.73;58.54
303;Varredura ;56;53;2968;1351;1212;114;25;91.4;97.63;61.62
251;Varredura ;52;39;2028;1088;1004;60;24;94.36;98.31;65.33
318;Espiral Decrescente ;61;57;3477;1435;1272;131;32;90.66;95.86;66.19
184;Boustrophedon ;43;33;1419;820;736;58;26;92.7;96.46;64.12
396;Boustrophedon ;54;55;2970;1709;1584;105;20;93.78;98.58;64.88
333;Boustrophedon ;60;55;3300;1472;1332;92;48;93.54;98.1;62.3
626;Boustrophedon ;63;63;3969;2629;2504;97;28;96.27;99.7;63.69
304;Boustrophedon ;56;50;2800;1347;1216;104;27;92.12;96.98;61.42
379;Boustrophedon ;59;59;3481;1660;1516;110;34;93.23;97.9;64.42
272;Boustrophedon ;56;49;2744;1204;1088;101;15;91.51;97.55;59.29
374;Varredura ;59;57;3363;1631;1496;112;23;93.03;98.15;60.85
400;Boustrophedon ;58;52;3016;1735;1600;105;30;93.84;98.22;60.79
298;Boustrophedon ;57;63;3591;1332;1192;107;33;91.76;97.33;60.28
632;Varredura ;56;63;3528;2617;2528;76;13;97.08;99.7;68.94
439;Boustrophedon ;63;62;3906;1885;1756;95;34;94.87;98.62;63.73
377;Boustrophedon ;54;56;3024;1664;1508;117;39;92.8;97.28;61.11
300;Varredura ;60;54;3240;1331;1200;100;31;92.31;96.79;67.76
300;Boustrophedon ;48;46;2208;1318;1200;89;29;93.1;97.82;64.15
286;Varredura ;60;53;3180;1266;1144;94;28;92.41;98.59;60.58
332;Varredura ;55;59;3245;1472;1328;112;32;92.22;97.25;59.34
261;Espiral Crescente ;54;48;2592;1166;1044;101;21;91.18;98.71;64.54
284;Varredura ;55;43;2365;1251;1136;85;30;93.04;98.19;61.81
327;Boustrophedon ;47;51;2397;1420;1308;81;31;94.17;97.88;63.75
239;Varredura ;49;56;2744;1086;956;95;35;90.96;97.71;56.98
195;Varredura ;50;42;2100;879;780;82;17;90.49;96.42;63.94
181;Varredura ;36;43;1548;816;724;72;20;90.95;97.55;62.44
196;Varredura ;39;48;1872;869;784;66;19;92.24;98.68;58.92
364;Boustrophedon ;53;55;2915;1593;1456;113;24;92.8;98.53;60.54
269;Boustrophedon ;56;47;2632;1211;1076;94;41;91.97;97.6;61.56
281;Espiral Crescente ;49;54;2646;1255;1124;103;28;91.61;97.94;53.78
248;Boustrophedon ;37;50;1850;1080;992;73;15;93.15;97.53;65.45
318;Boustrophedon ;57;57;3249;1401;1272;99;30;92.78;97.06;65.71
400;Varredura ;59;63;3717;1769;1600;132;37;92.38;97.36;60.18
367;Espiral Crescente ;55;54;2970;1608;1468;106;34;93.27;98.34;57.86
478;Boustrophedon ;63;63;3969;2062;1912;123;27;93.96;98.35;59.8
384;Varredura ;61;62;3782;1695;1536;135;24;91.92;96.97;62.14
322;Varredura ;55;54;2970;1435;1288;117;30;91.67;97.21;59.79
344;Espiral Crescente ;54;60;3240;1518;1376;106;36;92.85;98.45;57.44
321;Espiral Decrescente ;56;47;2632;1400;1284;94;22;93.18;96.05;70.34
347;Boustrophedon ;53;53;2809;1527;1388;103;36;93.09;97.74;61.72
290;Boustrophedon ;56;49;2744;1283;1160;93;30;92.58;97.64;62.64
260;Espiral Decrescente ;55;46;2530;1157;1040;90;27;92.04;95.61;68.7
248;Varredura ;46;56;2576;1112;992;92;28;91.51;97.45;60.48
354;Boustrophedon ;60;47;2820;1522;1416;82;24;94.53;97.13;70.64
317;Boustrophedon ;54;59;3186;1431;1268;127;36;90.9;97.17;60.6
313;Espiral Crescente ;45;59;2655;1373;1252;95;26;92.95;98.49;58.4
250;Boustrophedon ;45;54;2430;1096;1000;78;18;92.76;97.71;65.77
267;Boustrophedon ;50;47;2350;1181;1068;83;30;92.79;98.0;59.13
345;Boustrophedon ;63;48;3024;1512;1380;96;36;93.5;97.28;62.74
295;Boustrophedon ;49;61;2989;1318;1180;110;28;91.47;97.71;57.78
341;Varredura ;62;56;3472;1528;1364;121;43;91.85;97.25;60.18
345;Boustrophedon ;42;63;2646;1506;1380;100;26;93.24;97.31;66.55
620;Varredura ;63;57;3591;2576;2480;78;18;96.95;99.61;70.31
289;Boustrophedon ;43;49;2107;1264;1156;92;16;92.63;98.11;57.69
345;Boustrophedon ;57;54;3078;1511;1380;105;26;92.93;98.07;59.93
345;Boustrophedon ;55;54;2970;1513;1380;102;31;93.12;98.61;59.86
283;Espiral Crescente ;56;54;3024;1281;1132;124;25;90.13;98.38;54.76
518;Boustrophedon ;63;58;3654;2224;2072;127;25;94.22;98.68;61.63
307;Varredura ;50;49;2450;1338;1228;87;23;93.38;98.58;66.55
255;Boustrophedon ;46;51;2346;1121;1020;76;25;93.07;97.75;65.09
266;Varredura ;51;45;2295;1173;1064;87;22;92.44;97.62;58.65
360;Varredura ;53;56;2968;1575;1440;112;23;92.78;97.28;65.4
244;Espiral Crescente ;39;51;1989;1085;976;83;26;92.16;98.16;56.54
336;Boustrophedon ;48;51;2448;1465;1344;92;29;93.59;96.86;67.19
300;Boustrophedon ;55;48;2640;1342;1200;116;26;91.19;96.13;64.31
284;Varredura ;42;59;2478;1261;1136;95;30;92.28;97.76;63.08
245;Boustrophedon ;43;47;2021;1084;980;80;24;92.45;97.64;57.22
410;Boustrophedon ;60;63;3780;1774;1640;113;21;93.55;97.13;67.27
312;Espiral Crescente ;55;45;2475;1382;1248;98;36;92.72;98.34;60.94
270;Espiral Crescente ;56;45;2520;1193;1080;93;20;92.07;98.85;56.41
337;Boustrophedon ;56;45;2520;1472;1348;92;32;93.61;98.41;61.82
338;Boustrophedon ;55;52;2860;1474;1352;105;17;92.79;97.25;67.75
370;Varredura ;49;58;2842;1617;1480;110;27;93.08;97.48;61.28
356;Varredura ;56;56;3136;1554;1424;100;30;93.44;98.08;58.17
300;Varredura ;51;58;2958;1326;1200;104;22;92.02;97.5;59.92
249;Varredura ;49;54;2646;1123;996;96;31;91.21;98.3;53.33
287;Boustrophedon ;41;52;2132;1234;1148;74;12;93.94;97.44;66.85
411;Boustrophedon ;53;57;3021;1794;1644;120;30;93.2;97.76;63.66
305;Boustrophedon ;58;55;3190;1351;1220;98;33;92.56;97.8;64.59
252;Varredura ;48;52;2496;1162;1008;108;46;90.32;97.0;56.46
286;Varredura ;50;49;2450;1282;1144;96;42;92.26;96.66;60.75
270;Boustrophedon ;48;53;2544;1196;1080;102;14;91.37;96.72;61.99
251;Varredura ;41;50;2050;1104;1004;80;20;92.62;97.39;58.92
213;Boustrophedon ;47;45;2115;950;852;73;25;92.11;99.04;59.01
322;Boustrophedon ;51;54;2754;1445;1288;120;37;91.48;96.6;56.18
451;Boustrophedon ;57;57;3249;1954;1804;119;31;93.81;98.37;58.86
298;Espiral Crescente ;63;50;3150;1334;1192;123;19;90.65;97.07;59.78
288;Varredura ;59;53;3127;1329;1152;143;34;88.96;96.9;55.76
233;Varredura ;62;45;2790;1044;932;88;24;91.37;97.04;62.39
222;Boustrophedon ;45;45;2025;977;888;71;18;92.6;98.56;63.03
360;Boustrophedon ;56;57;3192;1578;1440;101;37;93.45;97.26;61.07
264;Boustrophedon ;44;51;2244;1173;1056;95;22;91.75;98.19;57.26
297;Varredura ;42;50;2100;1292;1188;69;35;94.51;98.03;63.11
338;Boustrophedon ;56;54;3024;1483;1352;93;38;93.56;98.61;55.81
357;Varredura ;53;56;2968;1571;1428;123;20;92.07;97.31;60.29
273;Espiral Decrescente ;57;40;2280;1186;1092;84;10;92.86;95.77;72.92
318;Boustrophedon ;62;52;3224;1405;1272;96;37;92.98;98.37;61.41
356;Varredura ;49;50;2450;1523;1424;75;24;95.0;98.86;59.62
269;Varredura ;47;51;2397;1194;1076;95;23;91.89;97.48;61.0
319;Varredura ;58;50;2900;1402;1276;97;29;92.94;97.14;66.78
355;Boustrophedon ;49;62;3038;1573;1420;112;41;92.69;97.99;61.09
252;Espiral Crescente ;43;45;1935;1091;1008;74;9;93.16;98.58;59.54
293;Boustrophedon ;48;52;2496;1257;1172;61;24;95.05;98.28;68.1
414;Espiral Crescente ;57;56;3192;1802;1656;128;18;92.83;98.24;55.43
307;Boustrophedon ;52;47;2444;1348;1228;96;24;92.75;97.89;62.4
227;Boustrophedon ;48;49;2352;1015;908;66;41;93.22;99.1;57.98
162;Varredura ;40;44;1760;751;648;75;28;89.63;97.42;57.42
194;Boustrophedon ;51;51;2601;890;776;78;36;90.87;97.41;63.97
309;Varredura ;58;48;2784;1354;1236;96;22;92.79;97.99;63.22
295;Boustrophedon ;55;42;2310;1301;1180;86;35;93.21;99.07;51.74
360;Varredura ;52;55;2860;1603;1440;118;45;92.43;97.41;55.67
343;Varredura ;62;45;2790;1518;1372;116;30;92.2;97.19;63.87
369;Varredura ;63;52;3276;1654;1476;143;35;91.17;97.69;58.66
308;Varredura ;58;50;2900;1353;1232;90;31;93.19;98.26;60.77
425;Boustrophedon ;57;60;3420;1895;1700;156;39;91.59;97.78;55.77
317;Boustrophedon ;59;53;3127;1413;1268;117;28;91.55;97.52;58.51
387;Boustrophedon ;59;60;3540;1683;1548;100;35;93.93;97.95;66.14
364;Boustrophedon ;51;55;2805;1613;1456;123;34;92.21;97.4;59.67
350;Varredura ;63;47;2961;1536;1400;109;27;92.78;97.9;63.33
328;Boustrophedon ;48;53;2544;1425;1312;86;27;93.85;97.0;65.62
252;Varredura ;43;61;2623;1138;1008;86;44;92.14;98.7;58.97
227;Boustrophedon ;46;49;2254;1017;908;77;32;92.18;97.47;60.79
321;Varredura ;51;56;2856;1431;1284;113;34;91.91;97.47;58.74
315;Boustrophedon ;59;53;3127;1411;1260;123;28;91.11;96.91;62.38
235;Boustrophedon ;49;43;2107;1045;940;67;38;93.35;97.62;58.33
384;Boustrophedon ;58;59;3422;1682;1536;116;30;92.98;97.19;63.61
275;Varredura ;55;47;2585;1213;1100;84;29;92.91;98.35;60.08
345;Boustrophedon ;56;58;3248;1512;1380;100;32;93.24;97.98;61.37
434;Espiral Crescente ;57;63;3591;1892;1736;130;26;93.03;98.74;55.26
186;Boustrophedon ;48;41;1968;825;744;70;11;91.4;96.36;69.95
296;Boustrophedon ;51;55;2805;1306;1184;94;28;92.64;96.93;65.91
272;Boustrophedon ;44;47;2068;1194;1088;82;24;92.99;97.75;61.11
406;Varredura ;45;60;2700;1704;1624;61;19;96.38;99.4;65.87
452;Boustrophedon ;58;62;3596;1996;1808;155;33;92.1;96.83;61.9
292;Espiral Crescente ;54;51;2754;1293;1168;92;33;92.7;97.98;59.22
244;Boustrophedon ;44;52;2288;1114;976;97;41;90.96;96.28;58.1
445;Boustrophedon ;62;56;3472;1919;1780;107;32;94.33;97.65;66.78
243;Boustrophedon ;46;46;2116;1066;972;76;18;92.75;97.01;65.13
383;Espiral Crescente ;55;55;3025;1671;1532;115;24;93.02;98.34;59.72
223;Boustrophedon ;37;52;1924;1031;892;102;37;89.74;97.25;55.97
307;Boustrophedon ;49;62;3038;1348;1228;84;36;93.6;98.69;62.28
260;Boustrophedon ;50;45;2250;1164;1040;88;36;92.2;97.87;54.19
253;Varredura ;41;48;1968;1097;1012;68;17;93.7;98.57;61.08
412;Varredura ;49;54;2646;1755;1648;88;19;94.93;99.14;61.94
269;Boustrophedon ;52;55;2860;1195;1076;88;31;92.44;97.23;63.53
202;Boustrophedon ;53;39;2067;923;808;87;28;90.28;97.24;59.15
334;Boustrophedon ;47;56;2632;1470;1336;103;31;92.84;98.17;57.89
280;Espiral Crescente ;50;43;2150;1233;1120;83;30;93.1;98.51;57.02
275;Boustrophedon ;47;45;2115;1219;1100;87;32;92.67;97.46;59.83
320;Varredura ;51;56;2856;1430;1280;103;47;92.55;98.11;59.31
380;Boustrophedon ;51;63;3213;1661;1520;107;34;93.42;98.91;56.1
354;Varredura ;60;59;3540;1603;1416;141;46;90.94;96.54;60.22
149;Boustrophedon ;32;40;1280;672;596;56;20;91.41;95.45;63.89
336;Varredura ;57;53;3021;1473;1344;105;24;92.75;99.23;59.87
190;Varredura ;52;44;2288;858;760;76;22;90.91;97.07;62.2
226;Varredura ;55;46;2530;1021;904;88;29;91.13;98.15;61.13
300;Varredura ;54;61;3294;1350;1200;106;44;91.88;97.67;60.38
227;Espiral Crescente ;48;37;1776;995;908;63;24;93.51;98.84;64.22
395;Varredura ;61;55;3355;1703;1580;103;20;93.88;98.45;63.93
354;Boustrophedon ;55;60;3300;1572;1416;118;38;92.31;97.14;61.54
313;Boustrophedon ;53;49;2597;1365;1252;91;22;93.22;97.28;63.39
334;Boustrophedon ;48;54;2592;1457;1336;90;31;93.69;97.94;60.49
355;Varredura ;59;54;3186;1566;1420;117;29;92.39;97.2;60.71
253;Varredura ;42;51;2142;1137;1012;92;33;91.67;97.68;54.78
325;Boustrophedon ;51;56;2856;1447;1300;121;26;91.48;97.98;59.48
315;Boustrophedon ;52;51;2652;1409;1260;108;41;92.11;97.2;56.18
290;Varredura ;63;42;2646;1294;1160;109;25;91.41;96.89;61.36
363;Varredura ;55;49;2695;1551;1452;84;15;94.53;97.56;66.83
346;Varredura ;56;46;2576;1485;1384;75;26;94.86;98.65;63.0
317;Espiral Crescente ;49;58;2842;1398;1268;104;26;92.42;98.54;52.32
329;Varredura ;55;56;3080;1450;1316;103;31;92.74;98.15;57.41
345;Boustrophedon ;47;49;2303;1490;1380;84;26;94.26;98.3;55.1
397;Espiral Decrescente ;55;57;3135;1742;1588;123;31;92.81;95.82;67.25
270;Varredura ;53;47;2491;1206;1080;94;32;91.99;97.09;59.67
307;Espiral Decrescente ;59;59;3481;1386;1228;132;26;90.29;95.17;65.7
247;Varredura ;44;53;2332;1104;988;93;23;91.4;97.73;56.56
441;Varredura ;57;63;3591;1898;1764;98;36;94.74;98.87;61.46
295;Varredura ;43;54;2322;1271;1180;68;23;94.55;98.41;63.0
309;Varredura ;45;54;2430;1344;1236;77;31;94.14;97.52;62.44
365;Varredura ;55;56;3080;1600;1460;127;13;92.0;97.87;61.11
303;Varredura ;52;54;2808;1328;1212;91;25;93.02;98.7;60.0
393;Varredura ;55;61;3355;1737;1572;122;43;92.8;97.84;60.87
315;Boustrophedon ;60;54;3240;1400;1260;103;37;92.44;97.2;57.98
304;Varredura ;43;56;2408;1328;1216;94;18;92.82;98.01;66.54
368;Espiral Decrescente ;59;55;3245;1637;1472;126;39;92.12;96.45;67.65
328;Boustrophedon ;43;53;2279;1437;1312;110;15;92.26;97.62;62.69
447;Espiral Crescente ;63;62;3906;1958;1788;132;38;93.12;98.17;55.97
259;Boustrophedon ;57;49;2793;1168;1036;101;31;91.12;97.64;60.36
632;Varredura ;55;63;3465;2655;2528;106;21;95.98;99.31;66.16
291;Espiral Crescente ;54;42;2268;1275;1164;89;22;92.9;98.76;57.39
325;Varredura ;48;60;2880;1417;1300;91;26;93.46;98.26;63.67
320;Varredura ;59;45;2655;1394;1280;90;24;93.43;97.7;66.41
321;Varredura ;62;49;3038;1439;1284;111;44;92.04;96.15;59.41
200;Boustrophedon ;35;46;1610;891;800;71;20;91.85;96.79;61.14
301;Espiral Crescente ;53;44;2332;1321;1204;82;35;93.62;99.35;54.36
213;Varredura ;53;38;2014;954;852;86;16;90.83;96.64;63.51
225;Varredura ;51;50;2550;1007;900;80;27;91.84;96.74;65.98
278;Varredura ;49;60;2940;1287;1112;121;54;90.19;96.48;55.94
604;Varredura ;62;61;3782;2518;2416;89;13;96.45;99.51;65.79
572;Varredura ;60;59;3540;2408;2288;92;28;96.13;99.52;65.41
241;Varredura ;43;43;1849;1064;964;69;31;93.32;97.29;64.02
307;Varredura ;61;52;3172;1372;1228;115;29;91.44;98.04;58.72
298;Espiral Crescente ;54;54;2916;1309;1192;91;26;92.91;97.47;62.5
263;Espiral Crescente ;38;50;1900;1158;1052;79;27;93.02;98.85;52.5
287;Boustrophedon ;49;55;2695;1261;1148;94;19;92.43;97.56;62.71
384;Varredura ;58;58;3364;1693;1536;118;39;92.87;97.98;63.79
379;Espiral Crescente ;55;62;3410;1680;1516;126;38;92.33;98.27;59.94
562;Varredura ;63;58;3654;2351;2248;88;15;96.23;99.42;67.73
289;Varredura ;44;48;2112;1247;1156;71;20;94.21;99.14;57.95
229;Boustrophedon ;35;54;1890;1007;916;66;25;93.28;97.91;61.86
308;Boustrophedon ;54;44;2376;1366;1232;101;33;92.42;96.6;65.11
275;Boustrophedon ;48;46;2208;1218;1100;93;25;92.2;97.49;63.98
232;Boustrophedon ;46;42;1932;1045;928;92;25;90.98;95.99;62.16
269;Boustrophedon ;43;49;2107;1170;1076;82;12;92.92;98.06;60.94
332;Boustrophedon ;53;45;2385;1418;1328;61;29;95.61;98.51;65.38
289;Boustrophedon ;50;57;2850;1270;1156;69;45;94.37;98.47;56.44
283;Espiral Crescente ;43;61;2623;1258;1132;99;27;91.96;98.69;57.03
438;Boustrophedon ;60;61;3660;1922;1752;135;35;92.85;97.27;59.62
292;Varredura ;62;38;2356;1295;1168;104;23;91.82;97.19;57.46
291;Espiral Crescente ;52;58;3016;1290;1164;103;23;91.87;98.53;58.74
300;Espiral Decrescente ;45;59;2655;1332;1200;93;39;92.81;96.03;64.4
472;Boustrophedon ;63;52;3276;2019;1888;103;28;94.83;98.99;66.86
255;Boustrophedon ;48;47;2256;1132;1020;89;23;91.97;98.44;58.12
386;Varredura ;56;63;3528;1686;1544;110;32;93.35;97.97;62.87
269;Varredura ;49;52;2548;1199;1076;96;27;91.81;97.48;59.92
304;Boustrophedon ;54;48;2592;1325;1216;85;24;93.47;97.89;63.4
292;Boustrophedon ;54;49;2646;1276;1168;85;23;93.22;97.81;62.72
342;Boustrophedon ;55;50;2750;1517;1368;109;40;92.62;96.61;61.65
392;Boustrophedon ;57;58;3306;1730;1568;124;38;92.67;97.2;59.33
274;Varredura ;55;51;2805;1225;1096;94;35;92.1;97.79;60.87
244;Boustrophedon ;59;43;2537;1082;976;78;28;92.6;98.22;62.08
284;Espiral Crescente ;54;48;2592;1278;1136;115;27;90.81;97.32;57.56
334;Boustrophedon ;55;47;2585;1481;1336;105;40;92.71;97.86;54.92
342;Varredura ;57;54;3078;1471;1368;77;26;94.67;99.42;63.91
373;Boustrophedon ;51;60;3060;1615;1492;90;33;94.31;97.79;64.23
333;Boustrophedon ;63;42;2646;1452;1332;92;28;93.54;98.2;57.02
212;Varredura ;51;42;2142;945;848;76;21;91.77;97.2;61.03
318;Varredura ;38;61;2318;1355;1272;67;16;95.0;98.85;68.47
276;Espiral Crescente ;52;57;2964;1225;1104;100;21;91.69;99.0;51.1
288;Varredura ;56;48;2688;1294;1152;114;28;91.0;97.09;57.25
323;Varredura ;56;45;2520;1406;1292;93;21;93.29;98.31;58.04
337;Varredura ;61;50;3050;1495;1348;100;47;93.09;97.97;60.45
239;Varredura ;48;51;2448;1089;956;105;28;90.1;96.7;60.89
340;Boustrophedon ;54;51;2754;1510;1360;113;37;92.33;97.88;55.87
317;Boustrophedon ;48;58;2784;1403;1268;102;33;92.55;97.25;62.32
311;Boustrophedon ;53;58;3074;1374;1244;104;26;92.28;97.74;61.11
309;Boustrophedon ;56;58;3248;1380;1236;123;21;90.95;96.0;64.41
294;Boustrophedon ;51;42;2142;1265;1176;68;21;94.53;98.53;58.29
322;Boustrophedon ;43;57;2451;1398;1288;85;25;93.81;98.03;62.17
317;Boustrophedon ;49;62;3038;1397;1268;101;28;92.62;97.79;60.61
303;Espiral Crescente ;54;51;2754;1349;1212;108;29;91.82;97.82;61.36
261;Boustrophedon ;48;40;1920;1157;1044;85;28;92.47;97.65;58.82
269;Boustrophedon ;54;50;2700;1200;1076;96;28;91.81;97.15;61.35
406;Boustrophedon ;63;62;3906;1771;1624;107;40;93.82;97.41;67.93
327;Varredura ;49;63;3087;1424;1308;88;28;93.7;97.75;66.67
260;Espiral Crescente ;62;47;2914;1156;1040;89;27;92.12;98.26;57.45
308;Boustrophedon ;53;49;2597;1349;1232;96;21;92.77;96.71;68.36
322;Boustrophedon ;50;52;2600;1407;1288;92;27;93.33;97.26;63.29
286;Boustrophedon ;51;48;2448;1257;1144;80;33;93.46;98.32;60.49
303;Varredura ;52;54;2808;1334;1212;84;38;93.52;98.05;60.7
305;Boustrophedon ;56;51;2856;1354;1220;99;35;92.49;97.96;59.71
221;Varredura ;44;42;1848;994;884;85;25;91.23;97.17;59.26
309;Varredura ;46;63;2898;1380;1236;107;37;92.03;98.21;53.21
